Id;date;order_number;place;t_c;order_count;branch
325;2024-02-12;79678;1;Сдек;1;Купи Флакон
326;2024-02-12;79906;1;Сдек;1;Купи Флакон
327;2024-02-12;79827;1;Boxberry;1;Купи Флакон
328;2024-02-12;79940;1;Почта России;1;Купи Флакон
329;2024-02-12;79599;1;Почта России;1;Купи Флакон
330;2024-02-12;79939;1;Почта России;1;Купи Флакон
331;2024-02-12;79915;3;DPD;1;Купи Флакон
332;2024-02-12;0;6;Wildberries;6;Маркетплейс
333;2024-02-13;79808;38;Самовывоз;1;Купи Флакон
334;2024-02-13;79975;1;Самовывоз;1;Купи Флакон
335;2024-02-13;79941;1;Самовывоз;1;Купи Флакон
336;2024-02-13;79629;6;Самовывоз;1;Купи Флакон
337;2024-02-13;79928;1;Boxberry;1;Купи Флакон
338;2024-02-13;79950;1;Boxberry;1;Купи Флакон
339;2024-02-13;79944;1;Boxberry;1;Купи Флакон
340;2024-02-13;79930;1;Boxberry;1;Купи Флакон
341;2024-02-13;79937;1;Boxberry;1;Купи Флакон
342;2024-02-13;79943;2;Boxberry;1;Купи Флакон
343;2024-02-13;79948;2;Сдек;1;Купи Флакон
344;2024-02-13;79964;1;Сдек;1;Купи Флакон
345;2024-02-13;79918;3;DPD;1;Купи Флакон
346;2024-02-13;79963;2;DPD;1;Купи Флакон
347;2024-02-13;79931;17;DPD;1;Купи Флакон
348;2024-02-14;79960;1;Самовывоз;1;Купи Флакон
349;2024-02-14;79976;1;Сдек;1;Купи Флакон
350;2024-02-14;79993;1;Сдек;1;Купи Флакон
351;2024-02-14;79891;1;Сдек;1;Купи Флакон
352;2024-02-14;80002;1;Сдек;1;Купи Флакон
353;2024-02-14;79972;1;Сдек;1;Купи Флакон
354;2024-02-14;79998;1;Сдек;1;Купи Флакон
355;2024-02-14;79977;1;Сдек;1;Купи Флакон
356;2024-02-14;79922;1;Сдек;1;Купи Флакон
357;2024-02-14;79981;1;Сдек;1;Купи Флакон
358;2024-02-14;80000;1;Сдек;1;Купи Флакон
359;2024-02-14;80031;1;Самовывоз;1;Купи Флакон
360;2024-02-14;79949;1;Почта России;1;Купи Флакон
361;2024-02-14;79973;12;DPD;1;Купи Флакон
362;2024-02-15;79895;1;Сдек;1;Купи Флакон
363;2024-02-15;79894;1;Сдек;1;Купи Флакон
364;2024-02-15;79897;1;Сдек;1;Купи Флакон
365;2024-02-15;80021;1;Самовывоз;1;Купи Флакон
366;2024-02-15;80039;1;Сдек;1;Купи Флакон
367;2024-02-15;80019;1;Сдек;1;Купи Флакон
368;2024-02-15;79995;2;Сдек;1;Купи Флакон
369;2024-02-15;80016;1;Сдек;1;Купи Флакон
370;2024-02-15;80011;1;Сдек;1;Купи Флакон
371;2024-02-15;80053;1;Сдек;1;Купи Флакон
372;2024-02-15;80020;1;Сдек;1;Купи Флакон
373;2024-02-15;79990;1;Сдек;1;Купи Флакон
374;2024-02-15;80022;1;Сдек;1;Купи Флакон
375;2024-02-15;79959;1;Сдек;1;Купи Флакон
376;2024-02-15;80007;2;Сдек;1;Купи Флакон
377;2024-02-15;79934;2;Сдек;1;Купи Флакон
378;2024-02-15;79929;1;Сдек;1;Купи Флакон
379;2024-02-16;80038;2;DPD;1;Купи Флакон
380;2024-02-16;80037;2;Самовывоз;1;Купи Флакон
381;2024-02-16;79988;2;Самовывоз;1;Купи Флакон
382;2024-02-16;80043;7;Самовывоз;1;Купи Флакон
383;2024-02-16;80010;1;Boxberry;1;Купи Флакон
384;2024-02-16;80064;1;Сдек;1;Купи Флакон
385;2024-02-16;80056;1;Сдек;1;Купи Флакон
386;2024-02-16;80066;1;Сдек;1;Купи Флакон
387;2024-02-16;80047;1;Сдек;1;Купи Флакон
388;2024-02-16;80067;1;Почта России;1;Купи Флакон
389;2024-02-16;79987;2;Сдек;1;Купи Флакон
390;2024-02-16;80060;2;Сдек;1;Купи Флакон
391;2024-02-16;80046;3;Сдек;1;Купи Флакон
392;2024-02-16;79997;3;DPD;1;Купи Флакон
393;2024-02-16;80036;1;DPD;1;Купи Флакон
394;2024-02-19;0;89;Озон;89;Маркетплейс
395;2024-02-19;0;1;Яндекс Маркет;1;Маркетплейс
396;2024-02-19;80091;1;Самовывоз;1;Купи Флакон
397;2024-02-19;80147;1;Самовывоз;1;Купи Флакон
398;2024-02-19;80084;1;Самовывоз;1;Купи Флакон
399;2024-02-19;80075;2;Самовывоз;1;Купи Флакон
400;2024-02-19;79905;1;Сдек;1;Купи Флакон
401;2024-02-19;80154;1;Почта России;1;Купи Флакон
402;2024-02-20;80102;1;Самовывоз;1;Купи Флакон
403;2024-02-20;0;13;Яндекс Маркет;13;Маркетплейс
404;2024-02-20;0;33;Озон;33;Маркетплейс
405;2024-02-21;80078;1;Самовывоз;1;Купи Флакон
406;2024-02-21;0;6;Яндекс Маркет;6;Маркетплейс
407;2024-02-21;80180;1;Самовывоз;1;Купи Флакон
408;2024-02-21;0;39;Озон;39;Маркетплейс
409;2024-02-21;80177;1;Самовывоз;1;Купи Флакон
410;2024-02-21;80170;1;Самовывоз;1;Купи Флакон
411;2024-02-21;80158;1;Самовывоз;1;Купи Флакон
412;2024-02-21;80133;1;Самовывоз;1;Купи Флакон
413;2024-02-21;80050;1;Самовывоз;1;Купи Флакон
414;2024-02-21;80100;3;Самовывоз;1;Купи Флакон
415;2024-02-21;80070;1;Самовывоз;1;Купи Флакон
416;2024-02-22;80229;1;Boxberry;1;Купи Флакон
417;2024-02-22;80248;1;Самовывоз;1;Купи Флакон
418;2024-02-22;0;38;Озон;38;Маркетплейс
419;2024-02-22;80175;1;Сдек;1;Купи Флакон
420;2024-02-22;80042;1;Сдек;1;Купи Флакон
421;2024-02-22;80068;1;Сдек;1;Купи Флакон
422;2024-02-22;80005;1;Сдек;1;Купи Флакон
423;2024-02-22;80079;1;Сдек;1;Купи Флакон
424;2024-02-22;80152;1;Сдек;1;Купи Флакон
425;2024-02-22;80218;1;Сдек;1;Купи Флакон
426;2024-02-22;80159;1;Сдек;1;Купи Флакон
427;2024-02-22;80044;1;Сдек;1;Купи Флакон
428;2024-02-22;80179;1;Сдек;1;Купи Флакон
429;2024-02-22;80246;1;Самовывоз;1;Купи Флакон
430;2024-02-26;80158;1;Самовывоз;1;Купи Флакон
431;2024-02-26;80107;1;Сдек;1;Купи Флакон
432;2024-02-26;0;57;Озон;57;Маркетплейс
433;2024-02-26;0;46;Wildberries;46;Маркетплейс
434;2024-02-27;0;15;Яндекс Маркет;15;Маркетплейс
435;2024-02-27;0;57;Озон;57;Маркетплейс
436;2024-02-27;;1;;1;Купи Флакон
437;2024-02-27;0;1;МегаМаркет;1;Маркетплейс
438;2024-02-27;0;1;Ярмарка мастеров;1;Маркетплейс
439;2024-02-27;80316;1;Почта России;1;Купи Флакон
440;2024-02-27;80268;1;Почта России;1;Купи Флакон
441;2024-02-27;80322;1;Почта России;1;Купи Флакон
442;2024-02-27;80138;1;Почта России;1;Купи Флакон
443;2024-02-27;80290;1;Почта России;1;Купи Флакон
444;2024-02-27;80262;1;Boxberry;1;Купи Флакон
445;2024-02-27;80294;2;Boxberry;1;Купи Флакон
446;2024-02-27;80231;4;DPD;1;Купи Флакон
447;2024-02-27;80285;5;DPD;1;Купи Флакон
448;2024-02-28;80274;1;Сдек;1;Купи Флакон
449;2024-02-28;0;7;Яндекс Маркет;7;Маркетплейс
450;2024-02-28;80111;1;Сдек;1;Купи Флакон
451;2024-02-28;80174;1;Сдек;1;Купи Флакон
452;2024-02-28;80257;1;Сдек;1;Купи Флакон
453;2024-02-28;80259;1;Сдек;1;Купи Флакон
454;2024-02-28;80260;1;Сдек;1;Купи Флакон
455;2024-02-28;80269;1;Сдек;1;Купи Флакон
456;2024-02-28;80266;1;Сдек;1;Купи Флакон
457;2024-02-28;80265;1;Сдек;1;Купи Флакон
458;2024-02-28;80263;1;Сдек;1;Купи Флакон
459;2024-02-28;80164;1;Самовывоз;1;Купи Флакон
460;2024-02-28;80363;3;Самовывоз;1;Купи Флакон
461;2024-02-28;80333;1;Boxberry;1;Купи Флакон
462;2024-02-28;80293;1;Boxberry;1;Купи Флакон
463;2024-02-28;80370;1;Сдек;1;Купи Флакон
464;2024-02-28;80330;1;Сдек;1;Купи Флакон
465;2024-02-28;80296;1;Сдек;1;Купи Флакон
466;2024-02-28;80132;1;Сдек;1;Купи Флакон
467;2024-02-29;0;1;Ярмарка мастеров;1;Маркетплейс
468;2024-02-29;0;4;Яндекс Маркет;4;Маркетплейс
469;2024-02-29;80376;1;DPD;1;Купи Флакон
470;2024-02-29;0;50;Озон;50;Маркетплейс
471;2024-02-29;80249;1;Сдек;1;Купи Флакон
472;2024-02-29;80228;1;Сдек;1;Купи Флакон
473;2024-02-29;80344;1;Сдек;1;Купи Флакон
474;2024-02-29;80402;1;Сдек;1;Купи Флакон
475;2024-02-29;80379;1;Почта России;1;Купи Флакон
476;2024-02-29;80394;1;Сдек;1;Купи Флакон
